 NO Joe                        NO Smith                    
 NO Tater                     YES Tot                      
YES Madam                     YES Glenelg                  
 NO Evil                      YES Eye                      
YES Ava                       YES Serres                   
YES Atta                       NO Person                   
 NO Anxious                   YES Xanax                    
 NO Fuzzy                     YES Tacocat                  
YES Kodok                     YES Malayalam                
YES Otto                      YES Qaanaaq                  
 NO Laurie                    YES Zerorez                  
