Joe                      Smith                   
Tater                    Tot                     
Madam                    Glenelg                 
Evil                     Eye                     
Ava                      Serres                  
Atta                     Person                  
Anxious                  Xanax                   
Fuzzy                    Tacocat                 
Kodok                    Malayalam               
Otto                     Qaanaaq                 
Laurie                   Zerorez                 
